index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed,edition,torch version,batch,train_classes,eval_classes
1,0,0.4610060769750169,0.5881161377447671,0.7088116137744767,0.8065496286293046,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,1,0.4924037812288994,0.6213706954760297,0.7344699527346388,0.8290006752194463,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,2,0.5032072923700203,0.6282916948008103,0.7370020256583389,0.8305199189736664,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,3,0.4930790006752194,0.6215395003376097,0.7339635381498987,0.8261309925725859,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,4,0.5011816340310601,0.6200202565833896,0.7263673193787981,0.8161715057393653,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,5,0.46353814989871706,0.5916610398379474,0.7025658338960162,0.7972653612424038,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,6,0.4680958811613775,0.587609723160027,0.700033760972316,0.7962525320729237,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,7,0.4648885887913572,0.587609723160027,0.7029034436191762,0.7972653612424038,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,8,0.4660702228224173,0.5886225523295071,0.7013841998649561,0.7942268737339635,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
1,9,0.4677582714382174,0.5844024307900068,0.6941255908170155,0.787305874409183,,1,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,0,0.4645509790681972,0.5806887238352465,0.6944632005401755,0.7981093855503039,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,1,0.513673193787981,0.6431465226198515,0.7547265361242403,0.8392977717758271,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,2,0.5020256583389602,0.6291357191087104,0.7418973666441594,0.8325455773126266,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,3,0.5084402430790007,0.638588791357191,0.7445982444294396,0.8268062120189061,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,4,0.5089466576637407,0.6284604996623903,0.738183659689399,0.8291694800810263,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,5,0.5069209993247805,0.6301485482781904,0.7361580013504389,0.8220796758946658,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,6,0.4831195138419986,0.6078663065496286,0.7162390276839973,0.8100945307224848,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,7,0.4680958811613775,0.5909858203916273,0.7002025658338961,0.799966239027684,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,8,0.4790681971640784,0.5963875759621877,0.7111748818365969,0.8028359216745442,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
3,9,0.4726536124240378,0.5952059419311276,0.7077987846049967,0.8028359216745442,,1,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,0,0.3148210668467252,0.4415935178933153,0.5708980418636057,0.700033760972316,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,1,0.4022619851451722,0.5273463875759622,0.6483794733288318,0.7614787305874409,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,2,0.4387238352464551,0.5612761647535449,0.6885550303848751,0.7957461174881837,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,3,0.4583051991897367,0.5805199189736664,0.6904118838622553,0.7940580688723835,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,4,0.4770425388251182,0.5987508440243079,0.7147197839297772,0.812288993923025,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,5,0.4787305874409183,0.6046590141796083,0.7288993923024983,0.8251181634031061,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,6,0.5077650236326806,0.6237339635381499,0.7354827819041189,0.8301823092505064,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,7,0.4986495611073599,0.6264348413234301,0.7364956110735992,0.8305199189736664,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,8,0.4920661715057394,0.6146185010128292,0.7290681971640783,0.824105334233626,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
4,9,0.4966239027683997,0.6272788656313302,0.7445982444294396,0.8313639432815665,,1,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,0,0.424881836596894,0.550641458474004,0.6728561782579339,0.7797096556380824,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,1,0.4260634706279541,0.5580688723835247,0.6801147873058744,0.7851114112086428,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,2,0.4112086428089129,0.5395003376097232,0.6698176907494936,0.7790344361917623,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,3,0.412390276839973,0.5361242403781229,0.6553004726536125,0.7626603646185011,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,4,0.3914584740040513,0.5145172180958811,0.6389264010803511,0.74983119513842,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,5,0.4064821066846725,0.5297096556380824,0.6483794733288318,0.7554017555705604,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,6,0.3894328156650912,0.5123227548953411,0.6303173531397704,0.7456110735989196,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,7,0.3690074274139095,0.4942606347062796,0.6215395003376097,0.7319378798109386,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
9,8,0.3674881836596894,0.4799122214719784,0.6051654287643484,0.7169142471303174,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
